varName,varTitle,longDescription
F1C027,Research - Interest,"Research - Interest is the amount incurred on debt allocated to research.

Research - total expenses is the sum of all operating expenses associated  with activities specifically organized to produce research outcomes and commissioned by an agency either external to the institution or separately budgeted by an organizational unit within the institution. The category includes institutes and research centers and individual and project research. This function does not include nonresearch sponsored programs (e.g., training programs)"
F1C031,Public service - Current year total,"Public service - total expenses is the sum of all operating expenses associated 
with activities established primarily to provide noninstructional services      
beneficial to individuals and groups external to the institution. Examples are  
conferences, institutes, general advisory services, reference bureaus, and      
similar services provided to particular sectors of the community. This function 
includes expenses for community services, cooperative extension services, and   
public broadcasting services."
F1C032,Public service - Salaries and wages,"Public service - salaries and wages are amounts paid as compensation for        
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of activities established primarily to provide 
noninstructional services beneficial to individuals and groups external to the  
institution. Examples are conferences, institutes, general advisory services,   
reference bureaus, and similar services provided to particular sectors of the   
community. This function includes expenses for community services, cooperative  
extension services, and public broadcasting services."
F1C033,Public service - Employee fringe benefits,"Public service - benefits are payments made to an individual over and above that
received in the form of a salary or wage, such as for insurance or retirement   
benefits, associated with activities established primarily to provide           
noninstructional services beneficial to individuals and groups external to the  
institution. Examples are conferences, institutes, general advisory services,   
reference bureaus, and similar services provided to particular sectors of the   
community. This function includes expenses for community services, cooperative  
extension services, and public broadcasting services."
F1C034,Public service - Depreciation,"Public service - depreciation is the allocation or distribution of the cost of  
capital assets, less any salvage value, to expenses over the estimated useful   
life of the asset in a systematic and rational manner for those assets          
associated with activities established primarily to provide noninstructional    
services beneficial to individuals and groups external to the institution.      
Examples are conferences, institutes, general advisory services, reference      
bureaus, and similar services provided to particular sectors of the community.  
This function includes expenses for community services, cooperative extension services, and public broadcasting services."
F1C035,Public service - All other,"Public service - all other is the sum of expenses not included in salaries and  
wages, benefits, or depreciation that are associated with activities            
established primarily to provide noninstructional services beneficial to        
individuals and groups external to the institution. Examples are conferences,   
institutes, general advisory services, reference bureaus, and similar services  
provided to particular sectors of the community. This function includes         
expenses for community services, cooperative extension services, and public     
broadcasting services."
F1C036,Public service - Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Public service - total expenses is the sum of all operating expenses associated with activities established primarily to provide noninstructional services  beneficial to individuals and groups external to the institution. Examples are  conferences, institutes, general advisory services, reference bureaus, and 
similar services provided to particular sectors of the community. This function includes expenses for community services, cooperative extension services, and public broadcasting services."
F1C037,Public service - Interest,"Public service - Interest is the amount incurred on debt allocated to public service.

Public service - total expenses is the sum of all operating expenses associated with activities established primarily to provide noninstructional services  beneficial to individuals and groups external to the institution. Examples are  conferences, institutes, general advisory services, reference bureaus, and 
similar services provided to particular sectors of the community. This function includes expenses for community services, cooperative extension services, and public broadcasting services."
F1C051,Academic support - Current year total,"Academic support - total expenses is the sum of all operating expenses          
associated with activities and services that support the institution's primary  
missions of instruction, research, and public service."
F1C052,Academic support - Salaries and wages,"Academic support - salaries and wages are amounts paid as compensation for      
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of activities and services that support the    
institution's primary missions of instruction, research, and public service."
F1C053,Academic support - Employee fringe benefits,"Academic support - benefits are payments made to an individual over and above   
that received in the form of a salary or wage, such as for insurance or         
retirement benefits, associated with activities and services that support the   
institution's primary missions of instruction, research, and public service."
F1C054,Academic support - Depreciation,"Academic support - depreciation is the allocation or distribution of the cost   
of capital assets, less any salvage value, to expenses over the estimated       
useful life of the asset in a systematic and rational manner for those assets   
associated with activities and services that support the institution's primary  
missions of instruction, research, and public service."
F1C055,Academic support - All other,"Academic support - all other is the sum of expenses not included in salaries    
and wages, benefits, or depreciation that are associated with activities and    
services that support the institution's primary missions of instruction,        
research, and public service."
F1C056,Academic support - Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Academic support - total expenses is the sum of all operating expenses associated with activities and services that support the institution's primary missions of instruction, research, and public service."
F1C057,Academic support - Interest,"Academic support - Interest is the amount incurred on debt allocated to academic support.

Academic support - total expenses is the sum of all operating expenses associated with activities and services that support the institution's primary missions of instruction, research, and public service."
F1C061,Student services - Current year total,"Student services - total expenses is the sum of all operating expenses          
associated with admissions, registrar activities, and activities whose primary  
purpose is to contribute to students' emotional and physical well-being and to  
their intellectual, cultural, and social development outside the context of the 
formal instructional program. Examples include student activities, cultural     
events, student newspapers, intramural athletics, student organizations,        
supplemental instruction outside the normal academic program (remedial          
instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C062,Student services - Salaries and wages,"Student services - salaries and wages are amounts paid as compensation for      
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of admissions, registrar activities, and       
activities whose primary purpose is to contribute to students' emotional and    
physical well-being and to their intellectual, cultural, and social development 
outside the context of the formal instructional program. Examples include       
student activities, cultural events, student newspapers, intramural athletics,  
student organizations, supplemental instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C063,Student services - Employee fringe benefits,"Student services - benefits are payments made to an individual over and above   
that received in the form of a salary or wage, such as for insurance or         
retirement benefits, associated with admissions, registrar activities, and      
activities whose primary purpose is to contribute to students' emotional and    
physical well-being and to their intellectual, cultural, and social development 
outside the context of the formal instructional program. Examples include       
student activities, cultural events, student newspapers, intramural athletics,  
student organizations, supplemental instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C064,Student services - Depreciation,"Student services - depreciation is the allocation or distribution of the cost   
of capital assets, less any salvage value, to expenses over the estimated       
useful life of the asset in a systematic and rational manner for those assets   
associated with admissions, registrar activities, and activities whose primary  
purpose is to contribute to students' emotional and physical well-being and     
to their intellectual, cultural, and social development outside the context     
of the formal instructional program. Examples include student activities,       
cultural events, student newspapers, intramural athletics, student organizations, supplemental instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C065,Student services - All other,"Student services - all other is the sum of expenses not included in salaries    
and wages, benefits, or depreciation that are associated with admissions,       
registrar activities, and activities whose primary purpose is to contribute to  
students' emotional and physical well-being and to their intellectual,          
cultural, and social development outside the context of the formal              
instructional program. Examples include student activities, cultural events,    
student newspapers, intramural athletics, student organizations, supplemental   
instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C066,Student services - Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Student services - total expenses is the sum of all operating expenses  associated with admissions, registrar activities, and activities whose primary  purpose is to contribute to students' emotional and physical well-being and to their intellectual, cultural, and social development outside the context of the formal instructional program. Examples include student activities, cultural events, student newspapers, intramural athletics, student organizations, supplemental instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C067,Student services - Interest,"Student services - Interest is the amount incurred on debt allocated to student services.

Student services - total expenses is the sum of all operating expenses  associated with admissions, registrar activities, and activities whose primary  purpose is to contribute to students' emotional and physical well-being and to their intellectual, cultural, and social development outside the context of the formal instructional program. Examples include student activities, cultural events, student newspapers, intramural athletics, student organizations, supplemental instruction outside the normal academic program (remedial instruction for example), career guidance, counseling, financial aid administration, and student records."
F1C071,Institutional support - Current year total,"Institutional support - total expenses is the sum of all operating expenses     
associated with the day-to-day operational support of the institution. Includes 
expenses for general administrative services, central executive-level           
activities concerned with management and long range planning, legal and fiscal  
operations, space management, employee personnel and records, logistical        
services such as purchasing and printing, and public relations and development."
F1C072,Institutional support - Salaries and wages,"Institutional support - salaries and wages are amounts paid as compensation for 
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of the day-to-day operational support of the   
institution. Includes expenses for general administrative services, central     
executive-level activities concerned with management and long range planning,   
legal and fiscal operations, space management, employee personnel and records,  
logistical services such as purchasing and printing, and public relations and   
development."
F1C073,Institutional support - Employee fringe benefits,"Institutional support - benefits are payments made to an individual over and    
above that received in the form of a salary or wage, such as for insurance or   
retirement benefits, associated with the day-to-day operational support of the  
institution. Includes expenses for general administrative services, central     
executive-level activities concerned with management and long range planning,   
legal and fiscal operations, space management, employee personnel and records,  
logistical services such as purchasing and printing, and public relations and   
development."
F1C074,Institutional support - Depreciation,"Institutional support - depreciation is the allocation or distribution of the   
cost of capital assets, less any salvage value, to expenses over the estimated  
useful life of the asset in a systematic and rational manner for those assets   
associated with the day-to-day operational support of the institution. Includes 
expenses for general administrative services, central executive-level           
activities concerned with management and long range planning, legal and fiscal  
operations, space management, employee personnel and records, logistical        
services such as purchasing and printing, and public relations and development"
F1C075,Institutional support - All other,"Institutional support - all other is the sum of expenses not included in        
salaries and wages, benefits, or depreciation that are associated with the      
day-to-day operational support of the institution. Includes expenses for        
general administrative services, central executive-level activities concerned   
with management and long range planning, legal and fiscal operations, space     
management, employee personnel and records, logistical services such as         
purchasing and printing, and public relations and development."
F1C076,Institutional support - Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Institutional support - total expenses is the sum of all operating expenses associated with the day-to-day perational support of the institution. Includes expenses for general administrative services, central executive-level  activities concerned with management and long range planning, legal and fiscal operations, space management, employee personnel and records, logistical  services such as purchasing and printing, and public relations and development."
F1C077,Institutional support - Interest,"Institutional support - Interest is the amount incurred on debt allocated to institutional support.

Institutional support - total expenses is the sum of all operating expenses associated with the day-to-day perational support of the institution. Includes expenses for general administrative services, central executive-level  activities concerned with management and long range planning, legal and fiscal operations, space management, employee personnel and records, logistical  services such as purchasing and printing, and public relations and development."
F1C081,Operation  maintenance of plant - Current year total,Operation and maintenance of plant - salaries and wages are amounts paid as
F1C082,Operation  maintenance of plant - Salaries and wages,"Operation and maintenance of plant - salaries and wages are amounts paid as     
compensation for services to all employees - faculty, staff, part time, full    
time, regular employees, and student employees of operations established to     
provide service and maintenance related to campus grounds and facilities used   
for educational and general purposes."
F1C083,Operation  maintenance of plant - Employee fringe benefits,"Operation and maintenance of plant - benefits are payments made to an           
individual over and above that received in the form of a salary or wage, such   
as for insurance or retirement benefits, associated with operations established 
to provide service and maintenance related to campus grounds and facilities     
used for educational and general purposes."
F1C084,Operation  maintenance of plant - Depreciation,"Operation and maintenance of plant - depreciation is the allocation or          
distribution of the cost of capital assets, less any salvage value, to expenses 
over the estimated useful life of the asset in a systematic and rational manner 
for those assets associated with operations established to provide service and  
maintenance related to campus grounds and facilities used for educational and   
general purposes."
F1C085,Operation  maintenance of plant - All other,"Operation and maintenance of plant - all other is the sum of expenses not       
included in salaries and wages, benefits, or depreciation that are associated   
with  operations established to provide service and maintenance related to      
campus grounds and facilities used for educational and general purposes."
F1C086,Operation maintenance of plant - Operation and maintenance of plant,Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.
F1C087,Operation maintenance of plant - Interest,"Operation maintenance of plant - Interest is the amount incurred on debt allocated to operation maintenance of plant.

Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes."
F1C091,Depreciation - total expense,"Depreciation - total expense - The allocation or distribution of the cost of    
capital assets, less any salvage value, to expenses over the estimated useful   
life of the asset in a systematic and rational manner. Depreciation for the     
year is the amount of the allocation or distribution for the year involved.     
This field is used if the institution has not allocated all depreciation to     
other functions."
F1C094,Depreciation,"Depreciation - The allocation or distribution of the cost of capital assets,    
less any salvage value, to expenses over the estimated useful life of the asset 
in a systematic and rational manner. Depreciation for the year is the amount    
of the allocation or distribution for the year involved.  This field is used if 
the institution has not allocated all depreciation to other functions."
F1C101,Scholarships and fellowships expenses -- Current year total,"Scholarships and fellowships - total expenses is the sum of all operating       
expenses associated with scholarships and fellowships treated as expenses       
because the institution incurs an incremental expense in the provision of a     
good or service. Thus, payments, made to students or third parties in support   
of the total cost of education are expenses if those payments are made for      
goods and services not provided by the institution. Examples include payments   
for services to third parties (including students) for off-campus housing or    
for the cost of board provided by institutional contract meal plans. The amount of expense in this function is the total of all institutional scholarships reduced by the amount that is classified as discounts and allowances."
F1C102,Scholarships and fellowships expenses -- Salaries and wages,"Scholarships and fellowships - salaries and wages are amounts paid as           
compensation for services to students classified as scholarships and            
fellowships and treated as expenses because the institution incurs an           
incremental expense in the provision of a good or service."
F1C103,Scholarships and fellowships expenses -- Employee fringe benefits,"Scholarships and fellowships - benefits are payments made to an                 
individual over and above that received in the form of a salary or wage, such   
as the employer share of social security or Medicare taxes associated with      
wages paid as compensation to students for services classified as scholarships  
and fellowships and treated as expenses because the institution incurs an       
incremental expense in the provision of a good or service."
F1C104,Scholarships and fellowships expenses -- Depreciation,"Scholarships and fellowships - depreciation is the allocation or distribution   
of the cost of capital assets, less any salvage value, to expenses over the     
estimated useful life of the asset in a systematic and rational manner.  If     
any depreciation is associated with scholarships and fellowships, it would      
be reported here."
F1C105,Scholarships and fellowships expenses -- All other,"Scholarships and fellowships - all other is the sum of expenses not included in 
salaries and wages, benefits, or depreciation that are associated with          
scholarships and fellowships treated as expenses because the institution        
incurs an incremental expense in the provision of a good or service. Thus,      
payments, made to students or third parties in support of the total cost of     
education are expenses if those payments are made for goods and services not    
provided by the institution. Examples include payments for services to third    
parties (including students) for off-campus housing or for the cost of board  provided by institutional contract meal plans. The amount of expense in this function is the total of all institutional scholarships reduced by the amount that is classified as discounts and allowances."
F1C111,Auxiliary enterprises -- Current year total,"Auxiliary enterprises - total expenses is the sum of all operating expenses     
associated with essentially self-supporting operations of the institution that  
exist to furnish a service to students, faculty, or staff, and that charge a    
fee that is directly related to, although not necessarily equal to, the cost    
of the service. Examples are residence halls, food services, student health     
services, intercollegiate athletics (only if essentially self-supporting),      
college unions, college stores, faculty and staff parking, and faculty housing."
F1C112,Auxiliary enterprises -- Salaries and wages,"Auxiliary enterprises - salaries and wages are amounts paid as compensation for 
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of essentially self-supporting operations of   
the institution that exist to furnish a service to students, faculty, or staff, 
and that charge a fee that is directly related to, although not necessarily     
equal to, the cost of the service. Examples are residence halls, food services, 
student health services, intercollegiate athletics (only if essentially self-   
supporting), college unions, college stores, faculty and staff parking, and faculty housing."
F1C113,Auxiliary enterprises -- Employee fringe benefits,"Auxiliary enterprises - benefits are payments made to an individual over and    
above that received in the form of a salary or wage, such as for insurance or   
retirement benefits, associated with essentially self-supporting operations of  
the institution that exist to furnish a service to students, faculty, or staff, 
and that charge a fee that is directly related to, although not necessarily     
equal to, the cost of the service. Examples are residence halls, food services, 
student health services, intercollegiate athletics (only if essentially self-   
supporting), college unions, college stores, faculty and staff parking, and faculty housing."
F1C114,Auxiliary enterprises -- Depreciation,"Auxiliary enterprises - depreciation is the allocation or distribution of the   
cost of capital assets, less any salvage value, to expenses over the estimated  
useful life of the asset in a systematic and rational manner for those assets   
associated with essentially self-supporting operations of the institution that  
exist to furnish a service to students, faculty, or staff, and that charge a    
fee that is directly related to, although not necessarily equal to, the cost    
of the service. Examples are residence halls, food services, student health     
services, intercollegiate athletics (only if essentially self-supporting), college unions, college stores, faculty and staff parking, and faculty housing."
F1C115,Auxiliary enterprises -- All other,"Auxiliary enterprises - all other is the sum of expenses not included in        
salaries and wages, benefits, or depreciation that are associated with          
essentially self-supporting operations of the institution that exist to furnish 
a service to students, faculty, or staff, and that charge a fee that is         
directly related to, although not necessarily equal to, the cost of the         
service. Examples are residence halls, food services, student health services,  
intercollegiate athletics (only if essentially self-supporting), college        
unions, college stores, faculty and staff parking, and faculty housing."
F1C116,Auxiliary enterprises -  Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Auxiliary enterprises - total expenses is the sum of all operating expenses associated with essentially self-supporting operations of the institution that  that charge a fee that is directly related to, although not necessarily equal to, the cost    
of the service. Examples are residence halls, food services, student health services, intercollegiate athletics (only if essentially self-supporting), college unions, college stores, faculty and staff parking, and faculty housing."
F1C117,Auxiliary enterprises - Interest,"Auxiliary enterprises - Interest is the amount incurred on debt allocated to auxiliary enterprises.

Auxiliary enterprises - total expenses is the sum of all operating expenses associated with essentially self-supporting operations of the institution that  that charge a fee that is directly related to, although not necessarily equal to, the cost    
of the service. Examples are residence halls, food services, student health services, intercollegiate athletics (only if essentially self-supporting), college unions, college stores, faculty and staff parking, and faculty housing."
F1C121,Hospital services - Current year total,"Hospital services - total expenses is the sum of all operating expenses         
associated with a hospital operated by the postsecondary institution (but not   
as a component unit) and reported as a part of the institution. This            
classification includes nursing expenses, other professional services, general  
services, administrative services, and fiscal services."
F1C122,Hospital services - Salaries and wages,"Hospital services - salaries and wages are amounts paid as compensation for     
services to all employees - faculty, staff, part time, full time, regular       
employees, and student employees of a hospital operated by the postsecondary    
institution (but not as a component unit) and reported as a part of the         
institution. This classification includes nursing expenses, other professional  
services, general services, administrative services, and fiscal services."
F1C123,Hospital services - Employee fringe benefits,"Hospital services - benefits are payments made to an individual over and        
above that received in the form of a salary or wage, such as for insurance or   
retirement benefits, associated with a hospital operated by the postsecondary   
institution (but not as a component unit) and reported as a part of the         
institution. This classification includes nursing expenses, other professional  
services, general services, administrative services, and fiscal services."
F1C124,Hospital services - Depreciation,"Hospital services - depreciation is the allocation or distribution of the       
cost of capital assets, less any salvage value, to expenses over the estimated  
useful life of the asset in a systematic and rational manner for those assets   
associated with a hospital operated by the postsecondary institution (but not   
as a component unit) and reported as a part of the institution. This            
classification includes nursing expenses, other professional services, general  
services, administrative services, and fiscal services."
F1C125,Hospital services - All other,"Hospital services - all other is the sum of expenses not included in salaries   
and wages, benefits, or depreciation that are associated with a hospital        
operated by the postsecondary institution (but not as a component unit) and     
reported as a part of the institution. This classification includes nursing     
expenses, other professional services, general services, administrative         
services, and fiscal services."
F1C126,Hospital services -  Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Hospital services - total expenses is the sum of all operating expenses associated with a hospital operated by the postsecondary institution (but not as a component unit) and reported as a part of the institution. This classification includes nursing expenses, other professional services, general services, administrative services, and fiscal services."
F1C127,Hospital services - Interest,"Hospital services - Interest is the amount incurred on debt allocated to hospital services.

Hospital services - total expenses is the sum of all operating expenses associated with a hospital operated by the postsecondary institution (but not as a component unit) and reported as a part of the institution. This classification includes nursing expenses, other professional services, general services, administrative services, and fiscal services."
F1C131,Independent operations - Current year total,"Independent operations - Expenses associated with operations that are independent of or unrelated to the primary missions of the institution (i.e., instruction, research, public service) although they may contribute indirectly to the enhancement of these programs. This category is generally limited to expenses of a major federally funded research and development center. Also included are information technology expenses, actual or allocated costs for operation and maintenance of plant, and depreciation related to the independent operations. FASB institutions also charge or allocate interest expense to independent operations. Excluded are expenses of operations owned and managed as investments of the institution's endowment funds."
F1C132,Independent operations - Salaries and wages,"Independent operations - salaries and wages are amounts paid as compensation    
for services to all employees - faculty, staff, part time, full time, regular   
employees, and student employees of operations that are independent of or       
unrelated to the primary missions of the institution (i.e., instruction,        
research, public service) although they may contribute indirectly to the        
enhancement of these programs. This category is generally limited to expenses   
of a major federally funded research and development center."
F1C133,Independent operations - Employee fringe benefits,"Independent operations - benefits are payments made to an individual over and   
above that received in the form of a salary or wage, such as for insurance or   
retirement benefits, associated with operations that are independent of or      
unrelated to the primary missions of the institution (i.e., instruction,        
research, public service) although they may contribute indirectly to the        
enhancement of these programs. This category is generally limited to expenses   
of a major federally funded research and development center."
F1C134,Independent operations - Depreciation,"Independent operations - depreciation is the allocation or distribution of the  
cost of capital assets, less any salvage value, to expenses over the estimated  
useful life of the asset in a systematic and rational manner for those assets   
associated with operations that are independent of or unrelated to the primary  
missions of the institution (i.e., instruction, research, public service)       
although they may contribute indirectly to the enhancement of these programs.   
This category is generally limited to expenses of a major federally funded      
research and development center."
F1C135,Independent operations - All other,"Independent operations - all other is the sum of expenses not included in       
salaries and wages, benefits, or depreciation that are associated with          
operations that are independent of or unrelated to the primary missions of the  
institution (i.e., instruction, research, public service) although they may     
contribute indirectly to the enhancement of these programs. This category is    
generally limited to expenses of a major federally funded research and          
development center."
F1C136,Independent operations -  Operations and maintenance of plant,"Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.

Independent operations - Expenses associated with operations that are independent of or unrelated to the primary missions of the institution (i.e., instruction, research, public service) although they may contribute indirectly to the enhancement of these programs. This category is generally limited to expenses of a major federally funded research and development center. Also included are information technology expenses, actual or allocated costs for operation and maintenance of plant, and depreciation related to the independent operations. FASB institutions also charge or allocate interest expense to independent operations. Excluded are expenses of operations owned and managed as investments of the institution's endowment funds."
F1C137,Independent operations - Interest,"Independent operations - Interest is the amount incurred on debt allocated to independent operations.

Independent operations - Expenses associated with operations that are independent of or unrelated to the primary missions of the institution (i.e., instruction, research, public service) although they may contribute indirectly to the enhancement of these programs. This category is generally limited to expenses of a major federally funded research and development center. Also included are information technology expenses, actual or allocated costs for operation and maintenance of plant, and depreciation related to the independent operations. FASB institutions also charge or allocate interest expense to independent operations. Excluded are expenses of operations owned and managed as investments of the institution's endowment funds."
F1C141,Other expenses  deductions - Current year total,"Other expenses and deductions - total expenses is the sum of all operating      
expenses associated with functions other than those listed previously, i.e.,    
instruction, research, public service, academic support, student services,      
institutional support, operations and maintenance of plant, depreciation,       
scholarships and fellowships, auxiliary enterprises, hospitals, and independent 
operations."
F1C142,Other expenses  deductions - Salaries and wages,"Other expenses and deductions - salaries and wages are amounts paid as          
compensation for services to all employees - faculty, staff, part time, full    
time, regular employees, and student employees associated with functions other  
than those listed previously, i.e., instruction, research, public service,      
academic support, student services, institutional support, operations and       
maintenance of plant, depreciation, scholarships and fellowships, auxiliary     
enterprises, hospitals, and independent operations."
F1C143,Other expenses  deductions - Employee fringe benefits,"Other expenses and deductions - benefits are payments made to an individual     
over and above that received in the form of a salary or wage, such as for       
insurance or retirement benefits, associated with functions other than those    
listed previously, i.e., instruction, research, public service, academic        
support, student services, institutional support, operations and maintenance of 
plant, depreciation, scholarships and fellowships, auxiliary enterprises,       
hospitals, and independent operations."
F1C144,Other expenses  deductions - Depreciation,"Other expenses and deductions - depreciation is the allocation or distribution  
of the cost of capital assets, less any salvage value, to expenses over the     
estimated useful life of the asset in a systematic and rational manner for      
those assets associated with functions other than those listed previously,      
i.e., instruction, research, public service, academic support, student          
services, institutional support, operations and maintenance of plant,           
depreciation, scholarships and fellowships, auxiliary enterprises, hospitals,   
and independent operations."
F1C145,Other expenses  deductions - All other,"Other expenses and deductions - all other is the sum of expenses not included   
in salaries and wages, benefits, or depreciation that are associated with       
functions other than those listed previously, i.e., instruction, research,      
public service, academic support, student services, institutional support,      
operations and maintenance of plant, depreciation, scholarships and             
fellowships, auxiliary enterprises, hospitals, and independent operations."
F1C146,Other expenses deductions -  Operations and maintenance of plant,Operations and maintenance of plant expenses is the sum of all operating expenses associated with operations established to provide service and maintenance related to campus grounds and facilities used for educational and  general purposes.
F1C147,Other expenses deductions - Interest,Other expenses deductions - Interest is the amount incurred on debt allocated to other expenses (expense functions not defined in the above functions).
F1C151,Total operating expenses - Current year total,"Total operating expenses - total expenses is the sum of all operating           
expenses that result from providing goods and services. Operating transactions  
are incurred in the course of the operating activities of the institution."
F1C152,Total operating expenses - Salaries  wages,"Total operating expenses - salaries and wages are amounts paid as compensation  
for services to all employees - faculty, staff, part time, full time, regular   
employees, and student employees associated with providing goods and services.  
Operating transactions are incurred in the course of the operating activities   
of the institution."
F1C153,Total operating expenses - Employee fringe benefits,"Total operating expenses - benefits are payments made to an individual over and 
above that received in the form of a salary or wage, such as for insurance or   
retirement benefits, associated with providing goods and services. Operating    
transactions are incurred in the course of the operating activities of the      
institution."
F1C154,Total operating expenses - Depreciation,"Total operating expenses - depreciation is the allocation or distribution       
of the cost of capital assets, less any salvage value, to expenses over the     
estimated useful life of the asset in a systematic and rational manner for      
those assets associated with providing goods and services. Operating            
transactions are incurred in the course of the operating activities of the      
institution."
F1C155,Total operating expenses - All other,"Total operating expenses - all other is the sum of expenses not included in     
salaries and wages, benefits, or depreciation that are associated with          
providing goods and services. Operating transactions are incurred in the course 
of the operating activities of the institution."
F1C161,Interest - Current year total,"Interest - total expense is the price paid for the use of money over a period   
of time."
F1C165,Interest - All other,"Interest - all other is the price paid for the use of money over a period of    
time."
F1C171,Other nonoperating expenses and deductions -  Current year total,"Other nonoperating expenses and deductions - total expense is 
the sum of all expenses incurred other than interest that are not classified    
as operating expenses."
F1C172,Other nonoperating expenses and deductions - Salaries and wages,"Other nonoperating expenses and deductions - salaries and wages are amounts     
paid as compensation for services to all employees - faculty, staff, part time, 
full time, regular employees, and student employees associated with functions   
other than operating transactions."
F1C173,Other nonoperating expenses and deductions - Employee fringe benefits,"Other nonoperating expenses and deductions - benefits are payments made to an   
individual over and above that received in the form of a salary or wage, such   
as for insurance or retirement benefits, associated with functions other than   
operating."
F1C174,Other nonoperating expenses and deductions - Depreciation,"Other nonoperating expenses and deductions - depreciation is the allocation or  
distribution of the cost of capital assets, less any salvage value, to expenses 
over the estimated useful life of the asset in a systematic and rational manner 
for those assets associated with functions other than operating."
